ITERATIONS,VM1 Mean Wait,VM1 Wait Interval Width,VM1 Mean Throughput,VM1 Throughput Interval Width,S3 Mean Wait,S3 Wait Interval Width,S3 Mean Throughput,S3 Throughput Interval Width,VM2CPU Mean Wait,VM2CPU Wait Interval Width,VM2CPU Mean Throughput,VM2CPU Throughput Interval Width,VM2Band Mean Wait,VM2Band Wait Interval Width,VM2Band Mean Throughput,VM2Band Throughput Interval Width,System Mean Wait,System Wait Interval Width,System Mean Throughput,System Throughput Interval Width
2300.0,0.15811672609954516,0.004156528898693382,6.157767355193581,0.05824818529974898,0.12000837664186328,0.0010083669250221792,4.190364859513504,0.05170238828423134,0.22300825747647662,0.005339219008657619,4.4300957490632165,0.049177237663394636,0.44218879534052186,0.016199541628133432,2.1978823292451963,0.028653175835611028,0.20243127971120736,0.0030857100764555005,6.987448052488905,0.05166935600225461
2400.0,0.1624401817301008,0.004584420072367878,6.16111495185562,0.06056488199025869,0.11973605567508246,0.0011241826938739763,4.191551228612188,0.049360489134742405,0.2210899491333739,0.006451805911205036,4.430429094857235,0.05003931867566147,0.43810847636989375,0.016054446123219147,2.206362625297287,0.030155093863516395,0.2031420859721556,0.0036770912989034575,6.997418012153457,0.05235767090205092
2500.0,0.16094987784522985,0.004128646029737386,6.1650642677863585,0.06149406942277226,0.11958360861726386,0.0010675195677504856,4.190458368593265,0.04486572271219196,0.2207750608297056,0.005650681668029989,4.435154112647959,0.04727281266627624,0.4414468208977518,0.015415287935960384,2.2100434333947603,0.028617796842102652,0.20285225853618116,0.0032919019766879743,6.997794991947313,0.05303682286059951
2600.0,0.1606057408351143,0.004274265090108291,6.1543826115314815,0.05644406880513788,0.11948360266173663,0.0011580472061608817,4.184584496422396,0.049538292418599326,0.22148009144905362,0.005850752093615342,4.432603473778376,0.048368086058295436,0.44149454704777197,0.014356180937939137,2.2091701064645224,0.030980643605779814,0.20290121848390713,0.0030056921702093175,6.994656555478858,0.05112881727337886
2700.0,0.16120454267110515,0.004046471473388699,6.149956767494028,0.054290556361590636,0.119556106720947,9.435340044498146E-4,4.1819600961456525,0.041941528270842715,0.2218867593042028,0.005275405036832581,4.436898181098364,0.04033061876165719,0.4444609145892591,0.015334159453780933,2.2091237649086466,0.02699288548934724,0.20366047905241869,0.0030665625157587986,6.997561530670595,0.04711599782631065
2800.0,0.16114130594425324,0.0034912995555141184,6.148831737440941,0.05382545996590988,0.11969524904806317,9.702466655956552E-4,4.185633986399851,0.046689508138604084,0.2254766965046297,0.005753633433729353,4.434781090639525,0.04717685216458194,0.4442540052531414,0.016458775139107484,2.204164607042825,0.02874364797039888,0.20460900878549898,0.0030363725267825315,6.996323766061939,0.04892964184372231
2900.0,0.16113121872959146,0.0037121530971840552,6.157197551481833,0.05299160082910561,0.11964190435744684,0.0010618222201620548,4.1899434664372,0.04400801002660057,0.22250940379748704,0.0057641135079792155,4.433062479973065,0.046438882720472544,0.4419020470148143,0.014654174374975716,2.202190674082658,0.02863596993768264,0.20332656373656505,0.003090467276786291,6.997889548050656,0.04518029192186621
3000.0,0.16201016698526652,0.003761844351067745,6.152776720670493,0.05660904289599419,0.11975925360194638,9.904659040583536E-4,4.184821137010871,0.0437248633736179,0.22329286353220953,0.005389478620521329,4.428470481255184,0.040995221109062716,0.4481993121886838,0.014177397553342774,2.202383369281467,0.025854934464235695,0.20476446918007352,0.00266439199201593,6.995380046980554,0.04530768460413132
3100.0,0.1619571632436184,0.0035109110041813773,6.155316902875407,0.05245240720278941,0.1197409150350587,9.449035684358553E-4,4.189484446973818,0.04246282941524608,0.224202397309806,0.004664750970065955,4.434874388842127,0.04306668458122926,0.4511304250822214,0.015394577759752606,2.2045910971839957,0.02728923530970501,0.20535672369773103,0.0030044924817516144,6.997293994503642,0.04906580248476736
3200.0,0.16094768187201758,0.003174746211076438,6.155867106294904,0.050397193463487464,0.11995881839106909,9.897420795412708E-4,4.184714486124002,0.037938546626629724,0.2236912296475011,0.005818090754154882,4.4326336046679335,0.04165338710512933,0.4481116034501104,0.014579243957789138,2.205800099389414,0.02714614338491319,0.20456874614317058,0.002785525814984672,6.99454534574256,0.04494050508399528
3300.0,0.16155875096112332,0.004018483673898648,6.156144117150818,0.04785216986986918,0.12008223643924132,9.457427978223134E-4,4.181857960895437,0.038876204002726386,0.22749547115491217,0.005944373540570384,4.434561732918166,0.03954981177092868,0.44867339267774253,0.014015799420670605,2.207393325684392,0.024874424133913532,0.20587974947335533,0.0030982573305727065,6.9970592581723885,0.04289230527689503
3400.0,0.16242482006253248,0.0035364300035390533,6.153787715154571,0.044658360123657474,0.12008950188755059,9.431964654640477E-4,4.179750076759021,0.03878749924475945,0.22461469755073504,0.005695341431189064,4.440492932732956,0.0396652420584194,0.4490217824594328,0.013668071339999097,2.2126086538615497,0.026149497012652363,0.205587967290296,0.0028382385079500807,6.998623018680255,0.0413122863681666
3500.0,0.1618120215145526,0.0036345001598920494,6.154355573763507,0.04807992537012743,0.12007809224683873,9.310740969972219E-4,4.176378925024976,0.03922518448593233,0.22416818832520014,0.006170490686338392,4.434984747732277,0.03742671857959568,0.4469085262671993,0.014880862196166132,2.209944974195453,0.02468719313629033,0.20503696509156102,0.003251031510036763,6.995668811551969,0.04319280918258444
3600.0,0.1622505331944123,0.0033361713957577683,6.147529211540803,0.045306974589067746,0.12010870153781364,8.708745443718921E-4,4.172545698691383,0.03731704921808846,0.22533222264365543,0.0055511227294874795,4.4304001933507235,0.040524346774727785,0.44930918328727953,0.014772095304567905,2.207475677616002,0.028289814631773408,0.2058510797708814,0.002985740447459901,6.989110913166664,0.04177048644098358
3700.0,0.16370979027828397,0.0037288430936120508,6.145096716639147,0.046870215405306094,0.12017995841735224,8.54290326384703E-4,4.17370311633564,0.03677607089705815,0.22574281212511238,0.00554383929531805,4.434173939960086,0.036491228308105424,0.4532991300296407,0.014760244118222245,2.208809754932689,0.02283569270823431,0.20698534014663514,0.003062002835449839,6.994054411418756,0.0420645164196092
3800.0,0.16308589171648488,0.0034303300547509157,6.136682286530294,0.04814393793542074,0.12010868212021691,8.485703294575692E-4,4.1693122113781556,0.03732731953282489,0.2234174188566955,0.005882198582138636,4.424687168470665,0.04337709208119817,0.45262146550214427,0.013803199581087642,2.2049721156139523,0.026803143483931764,0.2060000152209788,0.0033061334898413053,6.983165860289951,0.04279800797924478
